zpid,street_address,zipcode,description,latitude,longitude,garage_spaces,has_association,has_garage,has_spa,has_view,home_type,year_built,latest_price,latest_saledate,latest_salemonth,latest_saleyear,num_of_photos,num_of_appliances,num_of_parking_features,num_of_patio_and_porch_features,num_of_security_features,num_of_waterfront_features,num_of_window_features,num_of_community_features,lot_size_sq_ft,living_area_sq_ft,avg_school_distance,avg_school_rating,avg_school_size,_median_students_per_teacher,num_of_bathrooms,num_of_bedrooms,num_of_stories,age
241932966,5509 Bonneville Bnd,78744,"5509 Bonneville Bnd, Austin, TX 78744 is a single family home that contains 1,634 sq ft and was built in 2016. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $339,612. The Rent Zestimate for this home is $2,000/mo.",30.17614555358887,-97.6981430053711,2,TRUE,TRUE,FALSE,FALSE,Single Family,2016,287500,2019-04-18,4,2019,40,4,2,0,0,0,0,0,6141,1634,2.9,3.6666666666666665,1532,12,2,3,1,3
116080975,10912 Crosbyton Ln,78717,"10912 Crosbyton Ln, Austin, TX 78717 is a single family home that contains 3,047 sq ft and was built in 2013. It contains 4 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $700,508. The Rent Zestimate for this home is $2,495/mo.",30.488996505737305,-97.793792724609375,2,TRUE,TRUE,FALSE,FALSE,Single Family,2013,650000,2020-03-25,3,2020,1,3,3,1,0,0,2,0,8363,3047,3.3000000000000003,7.666666666666668,1259,14,4,4,1,7
145656987,4606 Belfield Ln,78725,"Awesome opportunity to own a 3 bedroom, 2 bathroom, almost new home in Austin's Colony. Great floorplan with kitchen wide open to the living room. Private rear yard. Easy access to Toll 130, only 15 minutes to downtown Austin. Contact your agent to schedule a showing ASAP as this home is priced to sell quickly.",30.24176788330078,-97.5790557861328,0,TRUE,FALSE,FALSE,FALSE,Single Family,2015,196000,2019-01-10,1,2019,29,7,1,0,0,0,0,0,5532,1399,1.9333333333333336,3,1457,13,2,3,1,4
70333915,12512 Verandah Ct,78726,"An abundance of technological & designer upgrades. Featuring jaw-dropping outdoor, covered living space with fp, TV, sound system, bar, half bath & outdoor kitchen all overlooking serene swimming pool & spa in a completely private backyard with a hidden, raised-bed, organic garden. Timed landscaped lighting - even in the trees. A must see! Resort-style living near Lake Austin/Lake Travis/Concordia U & convenient to Downtown Austin. Executive home on extra-large lot in coveted, Estates section.",30.42596435546875,-97.85840606689452,0,TRUE,FALSE,FALSE,FALSE,Single Family,2005,830000,2019-09-17,9,2019,37,4,1,1,3,0,1,0,19166.4,3573,2,7,1277,16,5,4,2,14
29462467,14500 James Vincent Dr,78725,"Great home available in Austin's Colony.  2 Living/ 2 Dining areas!  Fireplace in downstairs family room.  Kitchen with gas cooking! All bedrooms up!  Master bedroom with walk in closet and a master bath that has double vanities, separate shower and a garden tub.  Large patio in back for entertaining!  Shade trees! Storage building!",30.231584548950195,-97.5912628173828,0,TRUE,FALSE,FALSE,FALSE,Single Family,2000,219990,2019-06-07,6,2019,24,4,1,0,1,0,0,0,6229,2035,1.7666666666666666,3,1457,13,3,3,2,19
89548387,11928 Aitne Ln,78725,"A well kept 3 bed 2 bath corner lot home at a great price. Durable vinyl plank flooring throughout the home with an open floorplan. Vaulted ceilings help create an open feeling throughout the living area and into the Master. Kitchen opens onto dining room with windows looking out from the sink. A double vanity, a separate shower and garden cap off a surprisingly spacious master. Back yard is fenced in with plenty of space for children or the family pet to play in. All bedrooms positioned towards the interior of the lot and away from the street.",30.2150993347168,-97.63643646240234,0,TRUE,FALSE,FALSE,FALSE,Single Family,2009,195000,2019-03-28,3,2019,26,4,1,0,0,0,0,0,6751,1304,3.266666666666667,3,1457,13,2,3,1,10
241932964,5524 Loma Alta Dr,78744,"This stunning home shows like a model! Features include ceramic (wood look) tile flooring and cathedral ceilings. Gourmet kitchen with Silestone counters, upgraded cityscape cabinets w/crown molding, SS appliances, reverse osmosis system, convection oven and glass tile backsplash. All bedrooms have walk in closets. Master en-suite w/private sitting area, large walk-in shower and double vanity. Corner lot w/covered back patio overlooking the large back yard. Solar panels on the home keep electricity low!",30.175445556640625,-97.69815826416016,2,TRUE,TRUE,FALSE,FALSE,Single Family,2016,309999,2018-03-26,3,2018,31,7,2,0,0,0,0,0,7100,1907,2.9,3.6666666666666665,1532,12,3,3,2,2
29376494,10707 Beckwood Dr,78726,"Appealing 2 story home sitting on a quiet interior tree-lined street. This is a 4 bedroom 2.5 bath with large upstairs loft. There is a 2 car detached garage with attic and covered walkway to garage entry. There is also a walk-in attic in the house. Master on 1st floor. Great mature trees & big yard for kids to play. RISD Schools with top rated Westwood High. Walking distance to Canyon Creek pool & Amenity Center. Quiet neighborhood with quick access to Hwy 620, 45 Toll, & Hwy 130.",30.44289970397949,-97.82464599609376,2,TRUE,TRUE,FALSE,FALSE,Single Family,1988,427000,2020-03-04,3,2020,8,2,2,2,2,0,1,0,10890,2484,1.2333333333333332,8,1275,15,3,4,2,32
69808963,2703 Crownover St,78725,"2703 Crownover St, Austin, TX 78725 is a single family home that contains 2,088 sq ft and was built in 2006. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $259,583. The Rent Zestimate for this home is $1,800/mo.",30.22610282897949,-97.59052276611328,0,TRUE,FALSE,FALSE,FALSE,Single Family,2006,205000,2018-01-25,1,2018,24,6,1,0,0,0,0,0,4399,2088,1.9,3,1457,13,3,4,1,12
185217474,11429 Running Brush Ln,78717,Amazing 2 story in highly coveted Avery Ranch Far West!   This home is perfect for anyone wanting to live North Austin and get the amazing Leander ISD school district not to mention just minutes to all major roads and tolls.   Perfect space for entertaining with open concept that flows to the family living.  Extra bonus room up with a ton of lighting throughout.  Don’t forget to have your Texas BBQ’s in your backyard!   Can’t wait to see you on the 10th!,30.494144439697266,-97.79753112792967,0,TRUE,FALSE,FALSE,TRUE,Single Family,2008,344600,2019-09-05,9,2019,41,5,2,2,0,0,2,0,6786,2134,2,8.333333333333334,1481,16,3,3,2,11
145657963,7212 Garnet Mill Ln,78744,"Lovely cul-de-sac home with features tons of upgrades Kitchen has huge island with pendant lighting, granite counters, SS appliances & breakfast area. Master offers a sitting alcove, perfect for workout space or nursery. His and hers vanities, soaking tub, walking shower & spacious walk-in closet complete the master. French doors lead to a private home office.  Screened patio overlooks the large back yard! Bryant Park is close by and include a pavilion, park, walking trails with hammocks along the way!",30.161479949951172,-97.72125244140624,2,TRUE,TRUE,FALSE,FALSE,Single Family,2015,399900,2020-06-26,6,2020,40,4,2,1,4,0,0,0,8537,2629,3.1333333333333333,3.6666666666666665,1532,12,3,3,1,5
29370494,10700 Mcfarlie Cv,78750,"Spacious home on oversized cul-de-sac street.  Xeriscape terraced back yard w/multi-level decks.  Large kitchen with stainless steel appliances, granite and white cabinets.    New -laminate wood floors, carpet and fresh paint.   Sit outside on the upper balcony from the master bedroom and enjoy reading a book.  All bedrooms are up which make it nice for family.  Large living room and dining room with lots of light.  Desirable neighborhood and wonderful schools.  A MUST SEE!",30.42639350891113,-97.79273223876952,2,FALSE,TRUE,TRUE,FALSE,Single Family,1991,648000,2020-11-30,11,2020,50,6,2,2,2,0,0,0,11325.6,2567,1.1666666666666667,9,1616,16,3,4,2,29
89548844,2521 Elara Dr,78725,"Get away from the center of town and enjoy the lifestyle this home has to offer.  12 fruit bearing trees and an established vegetable garden ready for Spring planting, you can enjoy fresh fruits and vegetables all year long! 1 story, 1420 sq.ft. (TCAD)  home has 2 living areas, 3 bdrm and 2 baths.  Located in a cul-de-sac and the greenbelt behind your home, and kayaking along the Colorado River -- living here feels a bit like being in the big country.  Moderately priced, this home will sell quickly!!",30.213117599487305,-97.63728332519533,0,TRUE,FALSE,FALSE,FALSE,Single Family,2009,186500,2018-02-01,2,2018,6,3,1,0,0,0,0,0,7797,1420,3.3000000000000003,3,1457,13,2,3,1,9
125901465,804 Hatton Hill Ct,78725,"Check out this recently remodeled home in east Austin. Fresh paint in January 2020, and updated flooring in February 2020. This is a lovely 3 bed, 2 bath home that has easy access to Toll 130, Toll 290, Hwy 71, and the airport. Large partially covered concrete patio in the backyard. Water Softener, added concrete sidewalk to rear of house and extended back patio, epoxy floor in garage. Xeriscaping in the front yard. Minimal yard upkeep. Check it out, this house won't last!",30.23823547363281,-97.58043670654295,2,TRUE,TRUE,FALSE,FALSE,Single Family,2015,219000,2020-04-03,4,2020,28,5,2,1,1,0,0,0,4617,1267,1.9,3,1457,13,2,3,1,5
63228462,3100 Caleb Dr,78725,"Great starter home on a corner lot. This home has 3 beds, 2 baths and a spacious storage shed in the back.  Great location, about 12 miles to downtown Austin.",30.22929382324219,-97.59007263183594,0,TRUE,FALSE,FALSE,FALSE,Single Family,2004,179900,2018-03-22,3,2018,25,0,1,0,0,0,0,0,5924,1194,1.8333333333333333,3,1457,13,2,3,1,14
96639474,13500 Hymeadow Cir,78729,"Location, location, location w/ easy access to 183 & 45 toll! Close to a numerous  restaurants, shopping and Lakeline Mall. Enjoy bright and airy, 1-story home. This Energy Star Rated homes, features open floor plan, high ceilings, and sparkling wood flooring. Kitchen boasts large center island, perfect for entertaining, opens to living space. 3 large bedrooms, including a garden tub in master suite. Custom back door leads to backyard with covered patio, trees along fence line for privacy. In RRISD.",30.4632568359375,-97.78580474853516,0,TRUE,FALSE,FALSE,FALSE,Single Family,2011,405000,2020-02-18,2,2020,28,3,2,2,1,0,1,0,5619,2142,2.3000000000000003,6,1228,14,2,3,1,9
89547842,2312 Elara Dr,78725,Adorable single story home in Hornsby Glen.  Charming 2014 built home with 3 bedrooms and 2 bathroom home. It's a PERFECT PLACE to call home.,30.21501922607422,-97.63804626464844,0,TRUE,FALSE,FALSE,FALSE,Single Family,2014,194098,2019-03-06,3,2019,9,5,1,0,0,0,0,0,5445,1296,3.333333333333333,3,1457,13,2,3,1,5
251030464,5708 Roderick Dr,78724,"Highly upgraded ""Move in Ready"" DR Horton home completed in 2018 on quite street in highly desirable East Austin neighborhood. Featuring high ceilings, luxurious main level master, game room, cookâs delight gourmet island kitchen. Better than new w/full sod, upgraded fixtures, sprinkler system. Amazing location. Walk to outstanding elementary.12 miles to UT/Downtown.USDA financing available. Easy access to Toll 130, HWY 290. 8 miles to airport. All that plus nearby park, lake, fishing & trails. Low Taxes!",30.25937271118164,-97.58674621582033,1,TRUE,TRUE,FALSE,FALSE,Single Family,2018,255700,2019-04-05,4,2019,22,3,2,0,0,0,0,0,6098,2570,2.2,2.6666666666666665,1478,13,3,4,2,1
29376491,10701 Beckwood Dr,78726,"10701 Beckwood Dr, Austin, TX 78726 is a single family home that contains 3,140 sq ft and was built in 1989. It contains 5 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $567,474. The Rent Zestimate for this home is $2,695/mo.",30.442386627197266,-97.8249969482422,0,TRUE,FALSE,FALSE,FALSE,Single Family,1989,495000,2019-06-07,6,2019,1,3,1,0,0,0,0,0,9147,3140,1.2333333333333334,8,1275,15,3,5,2,30
241932962,5504 Loma Alta Dr,78744,"Trendy newer built home in a great community neigborhood.  Popular 2-story floorplan with master down featuring HUGE walk-in closet.  Open gourmet kitchen for the family chef.  3 bedrooms up with bonus area ideal for game room, 2nd living area, or exercise space.  No carpet on main level!  Imagine sipping your favorite beverage while grilling up delicious food, soaking in private garden view on covered back patio.  Close proximity to the airport, downtown, McKinney Falls & more.  Hurry, priced to sell!",30.17613220214844,-97.6977310180664,2,TRUE,TRUE,FALSE,FALSE,Single Family,2016,325000,2020-08-18,8,2020,67,4,2,1,1,0,1,0,6141,2068,2.9,3.6666666666666665,1532,12,3,4,2,4
70355962,15101 Nordyke Ln,78725,"*TEXT AGENT FOR APPOINTMENT* *No showings after 6pm* Sellers need 2 hour notice. Perfect family home priced to sell! *OFFERS DEADLINE FRIDAY, MARCH 13 at 2PM!* Open floor plan, separate bedrooms, concrete floors through out, 2 closets in master, etc. Friendly neighborhood! Nearby attractions includes the Colorado River, East Metropolitan Park, Dry Creek Tree Farm, Barking Springs Dog Ranch, McKinney, etc. Not to mention 12 minutes from Downtown Austin! Easy access to major freeways! Low taxes!",30.23895072937012,-97.58032989501952,2,TRUE,TRUE,FALSE,TRUE,Single Family,2006,198500,2020-04-13,4,2020,27,5,2,1,1,0,0,0,5749,1807,1.8666666666666665,3,1457,13,2,4,1,14
29376490,10615 Beckwood Dr,78726,"Affordable home in highly desired Canyon Creek waiting for your updates! Located in the original section with large trees, big lots and just a block away from the beautiful neighborhood pool, playground, tennis courts & the exemplary Canyon Creek Elementary school! Feeds to the nationally recognized Westwood high school! This home features 2956 sq feet and 5 bedrooms with an open kitchen/living area and fireplace. Tons of natural light fill this home. Roof only 8 years old, HVAC's are 5 and 8 years old.",30.442228317260746,-97.82511138916016,2,TRUE,TRUE,FALSE,TRUE,Single Family,1990,485000,2020-10-30,10,2020,60,5,2,1,1,0,0,0,8624,2956,1.2333333333333334,8,1275,15,3,5,1,30
29366907,14515 Ridgetop Ter,78732,"PRICE	MLS #
Call for Price	—
SQ FOOTAGE	ACRES
8,800	.573
BEDROOMS	BATHS
5	8
This stunning modern estate, known as “Acqua Villa”, resides on the shores of Lake Travis, off the deepest portion of the lake. Private and gated, the property features a tri-level 8,800 sq ft estate, including separate guest house, adjustable boat dock, 6-car garage, and infinity edge pool with dual hot tubs. Take in phenomenal panoramic views up and down the lake from the pool and sprawling travertine sun deck.
Designed by award-winning architect Winn Wittman, Acqua Villa is a visually sweeping tour-de-force of luxury, green technology, and modern aesthetics, while being featured on the Discovery Channel and in design magazines such as Objekt. The home merges naturally with the beauty of Lake Travis, with floor-to-ceiling windows lining the home providing natural light and opening up to the lake. As one approaches the home, the driveway becomes a breeze-way, framing a spectacular vista of Lake Travis.

Through stainless entry doors, one comes to a large living area with soaring ceilings crowned with Zeppelin chandeliers. Fiber optic lighting installations and mechanical sun shades are controlled by the touch of an iPad. A gourmet kitchen with caesarstone worktops and floors, stainless appliances, and bar, open up to the living area. Upstairs, the spacious master suite features walk-in closet, balcony overlooking water, and master bath with oversized jetted tub, steam shower, and dual vanities. All three levels of the villa are also accessible by elevator.

Acqua Villa is also engineered for entertaining, relaxing, and ultimate recreation. The lake is just out the back door, with adjustable boat dock and slip capable of accommodating 42' boat. Two jet-ski ramps and further deck space allow for further access of the lake. The sprawling sun deck and infinity edge pool are also complimented by pool house with kitchenette and cryotherapy spa. The pool itself is flanked by small manicured lawns fenced off by glass, unencumbering the lake views. Separate guest quarters offer full bath, along with kitchenette. Among the 5 living areas in the home is a state-of-the-art theater room.

Private and secure, Acqua Villa has 10 iPad-controlled surveillance cameras, and secured, gated entry. Just 25 minutes to Downtown Austin, and within minutes of Lake Travis area shopping and The Oasis. This is a luxurious waterfront masterpiece with a contemporary flair, and an organic convergence of nature and architecture.",30.41809463500977,-97.90081787109376,6,FALSE,TRUE,TRUE,TRUE,Single Family,1996,5495000,2020-10-28,10,2020,43,2,2,0,0,0,0,0,24829.2,8800,4.166666666666667,7,1277,16,8,5,3,24
250825472,12100 Wickline Way,78717,"12100 Wickline Way, Austin, TX 78717 is a single family home that contains 2,595 sq ft and was built in 2016. It contains 5 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $456,987. The Rent Zestimate for this home is $2,450/mo.",30.49202919006348,-97.79917907714844,2,TRUE,TRUE,FALSE,FALSE,Single Family,2016,440000,2020-05-15,5,2020,31,4,3,1,2,0,1,0,5536,2595,2.1,8.333333333333334,1481,16,3,5,2,4
89550834,2525 Elara Dr,78725,"Model-Sharp Single Level 3br 2ba CDS Lot backs to Woods & Fields ::: Bright & Open Split-Plan w/ Ceiling Fans, Art Niche & Recessed Lights * Wood Blinds * Gas Fireplace * Breakfast Bar & Nook * Tile Backsplash * Black Whirlpool Appliances w/ Gas Range & Incl Fridge * Large Utility Room w/ Window :) Big Private Backyard w/ Covered Patio & Oak Trees, walking distance to River * Epoxy Sealed Garage Floor * Super Clean & Move-In Ready",30.21296501159668,-97.63726806640624,0,TRUE,FALSE,FALSE,FALSE,Single Family,2010,225000,2019-02-01,2,2019,19,5,1,0,0,0,0,0,9626,1420,3.3000000000000003,3,1457,13,2,3,1,9
64674953,4010 Louise Lee Dr,78725,"AMAZING single story in Austins Colony. Open floor plan w/formal dining and breakfast area. Bonus room off Spacious Master! Tile flooring in living, dining, and kitchen. Arched entryways with tons of natural lighting. Lots of storage in home and garage. HUGE walk-in closet. Upgrades include: lighting fixtures, ceiling fans, appliances, water heater, and solar panels (ZERO utility bills.*see agent).",30.24004554748535,-97.5873565673828,2,TRUE,TRUE,FALSE,TRUE,Single Family,2003,207900,2018-07-04,7,2018,26,2,2,0,0,0,0,0,5314,1929,1.633333333333333,3,1457,13,2,3,1,15
29374483,10714 Fountainbleu Cir,78750,"This 4 bedroom 2 bath home is located in the popular Spicewood at Balcones Village neighborhood!  Cozy fireplace in the family room that is open to the kitchen.  Spacious backyard with outdoor patio.  Indoor utility room and a two car side entry garage.  Make this home your own!  Acclaimed RRISD schools - Spicewood, Canyon Vista and Westwood!",30.433971405029297,-97.8055191040039,2,TRUE,TRUE,TRUE,FALSE,Single Family,1976,575000,2021-01-08,1,2021,23,4,2,1,0,0,0,0,14810.4,2170,1.2,8.666666666666666,1632,16,2,4,1,45
29461422,4015 Ayala Dr,78725,"Prime location and price in Austin! Minutes from the airport, Circuit of the Americas, downtown Austin and more! Major improvements have been made in the last 6 years including - 30 year shingles, interior and exterior painting, Lennox A/C units, carpet and vinyl plank flooring, toilets, fixtures and fans! This one is move in ready! Located in a quiet, corner section of the neighborhood. Pool, playground and sports court in the neighborhood. Great opportunity - don't miss it!",30.237213134765625,-97.58354949951172,0,TRUE,FALSE,FALSE,FALSE,Single Family,1996,200000,2019-09-24,9,2019,30,2,1,0,1,0,0,0,6969,1592,1.7666666666666666,3,1457,13,3,3,2,23
116080970,10816 Crosbyton Ln,78717,"Extensive upgrade list on a premium lot in Northwoods at Avery Ranch. Modern front door, 5 full bathrooms, balcony, tankless water heaters, upgraded lighting fixtures, oversized garage doors, expanded covered patio, wide plank wood floors, 240v in garage for electric car, 5 bedrooms AND media/play room, game room, mature trees, white shaker cabinetry, Kitchenaid appliances, silestone counters, soaring ceiling in the office, walk-in shower w/ tile surrounds, 4-side stucco & stone exterior with down-lit eaves. Award Winning Round Rock ISD Schools including Pearson Ranch Middle School!",30.48861694335937,-97.79280853271484,0,TRUE,FALSE,FALSE,FALSE,Single Family,2016,675000,2019-07-25,7,2019,40,3,2,1,0,0,0,0,12632.4,3837,3.266666666666667,7.666666666666668,1259,14,5,5,2,3
29557482,9512 Eddystone St,78729,"Charming 3/2 with no carpet! Luxury vinyl plank and tile throughout; modern finish out with fresh granite counter tops in the kitchen and glass backsplash.  Large garage, huge backyard that feels very private with a creek running through (No flooding issues during the recent storms).  Huge backyard tree!  Great location; very convenient to shopping, food and close to major highways for quick access to down town.",30.45297622680664,-97.78694915771484,6,FALSE,TRUE,FALSE,FALSE,Single Family,1976,259000,2019-01-19,1,2019,19,4,3,0,0,0,0,0,16552.8,1239,1.7666666666666666,5.333333333333333,1369,12,2,3,1,43
241932948,7912 Annalise Dr,78744,"Absolutely stunning w amazing upgrades from West Elm & Z Gallery through out! Handscraped laminate floors (no carpet!), stunning Quartz Counters, upgraded white shaker cabinets w soft close & farmhouse apron sink, subway backsplash, brushed nickel hardware & SS appliances! Walk in pantry, coffered ceilings, modern 6 panel doors, custom lighting through out, sprinkler & keyless locks! Oversized master w slate walk in shower, double vanities & Walk in closet! Walking dist to Addisons 2 pools, gym & park!",30.17658805847168,-97.69738006591795,0,TRUE,FALSE,FALSE,FALSE,Single Family,2016,275000,2020-02-10,2,2020,40,4,1,0,0,0,1,0,5488,1449,2.9,3.6666666666666665,1532,12,2,3,1,4
29461406,14611 Highsmith St,78725,"Recent interior and exterior paint, recent carpet, tile surround in master bathroom, recent range, Heating and A/C unit replaced 2018.",30.23699188232422,-97.58533477783205,0,TRUE,FALSE,FALSE,FALSE,Single Family,1997,199999,2019-08-23,8,2019,18,3,1,1,0,0,0,0,5227,1335,1.7333333333333334,3,1457,13,2,3,1,22
2081704483,12011 Clayton Creek Ave,78725,"MLS# 3880487 - Built by Taylor Morrison - Ready Now! ~ This single story home features a gallery entry, two bedrooms and one bath at front hall and spacious private master suite. Master bath includes linen storage, walk-in shower, double vanity, enclosed water closet and large walk-in closet. Kitchen and dining are open to Great Room. Island includes Stainless Steel single-basin sink, dishwasher and additional seating space. Plentiful pantry shelving compliments substantial cabinet st",30.22005844116211,-97.63460540771484,2,TRUE,TRUE,FALSE,FALSE,Single Family,2020,268729,2020-06-29,6,2020,1,3,1,0,1,0,1,0,4800,1514,3.1333333333333333,3,1457,13,2,3,1,0
116080962,10701 Copper Basin Cv,78717,"Beautiful single story corner lot with a pool! Sprawling floorplan featuring 4 bedrooms, plus and office & game room. Large custom kitchen with tons of storage & a huge custom mudroom between the kitchen and the garage. Donât miss this oversized three car garage. The private corner lot features a backyard oasis ready for summer. With a pool, covered patio and dog run this home has it all! This is one of the most popular floorplans in Northwoods and must be seen.",30.4880485534668,-97.79401397705078,0,TRUE,FALSE,FALSE,FALSE,Single Family,2013,625000,2019-07-22,7,2019,30,2,2,1,0,0,0,0,15681.6,3111,3.266666666666667,7.666666666666668,1259,14,3,4,1,6
