case_id,econ_conditions_country,employment_status,household_income,age_category,education,gender,region,housing_status
202504511,Only fair,Working part-time,"$25,000 to $49,999",55-64,Some college or Associate's degree,Male,South,Own your home with a mortgage or loan
202200129,Poor,Working part-time,"$75,000 to $99,999",65-74,Some college or Associate's degree,Female,West,Own your home with a mortgage or loan
202500458,Poor,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Female,Northeast,Own your home with a mortgage or loan
202505309,Only fair,Not working,"$150,000 or more",65-74,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
202506777,Only fair,Working part-time,"$150,000 or more",45-54,Bachelor's degree or higher,Female,Midwest,Own your home with a mortgage or loan
202502772,Good,Not working,"$50,000 to $74,999",65-74,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home free and clear (without a mortgage or loan)
202506248,Good,Not working,"$50,000 to $74,999",75+,Bachelor's degree or higher,Male,South,Own your home free and clear (without a mortgage or loan)
202204876,Poor,Not working,"$100,000 to $149,999",55-64,Some college or Associate's degree,Female,South,Own your home with a mortgage or loan
202200549,Good,Working part-time,"$150,000 or more",75+,Bachelor's degree or higher,Female,Northeast,Own your home free and clear (without a mortgage or loan)
202502861,Poor,Working full-time,"$25,000 to $49,999",35-44,Bachelor's degree or higher,Female,South,Own your home with a mortgage or loan
202402548,Only fair,Not working,"$100,000 to $149,999",75+,Some college or Associate's degree,Female,West,Own your home with a mortgage or loan
202506098,Good,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Female,Northeast,Own your home with a mortgage or loan
202200134,Good,Working full-time,"$150,000 or more",55-64,Some college or Associate's degree,Female,Northeast,Own your home with a mortgage or loan
202503705,Good,Not working,"$25,000 to $49,999",65-74,Some college or Associate's degree,Male,West,Own your home free and clear (without a mortgage or loan)
202505955,Excellent,Working full-time,"$100,000 to $149,999",55-64,Some college or Associate's degree,Male,West,Own your home with a mortgage or loan
201904009,Good,Working full-time,"$25,000 to $49,999",25-34,Some college or Associate's degree,Female,South,Own your home with a mortgage or loan
202101401,Poor,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Female,Northeast,Own your home with a mortgage or loan
202401391,Poor,Working full-time,"$100,000 to $149,999",45-54,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
202501079,Poor,Working full-time,"$150,000 or more",25-34,Bachelor's degree or higher,Male,West,Own your home with a mortgage or loan
201803719,Only fair,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Male,South,Own your home free and clear (without a mortgage or loan)
201702066,Only fair,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
202400717,Poor,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Female,Midwest,Own your home with a mortgage or loan
201902741,Good,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
202502592,Good,Working full-time,"$150,000 or more",35-44,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
202504292,Poor,Not working,"$150,000 or more",55-64,Some college or Associate's degree,Female,South,Own your home with a mortgage or loan
201401638,Only fair,Working full-time,"$75,000 to $99,999",55-64,High school graduate (high school diploma or the equivalent GED),Male,South,Pay rent
201705134,Only fair,Working full-time,"$75,000 to $99,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
202304919,Good,Not working,"$25,000 to $49,999",75+,High school graduate (high school diploma or the equivalent GED),Male,Midwest,Own your home free and clear (without a mortgage or loan)
202501953,Only fair,Not working,"$150,000 or more",65-74,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
202204413,Poor,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Male,South,Pay rent
202102615,Good,Not working,"$75,000 to $99,999",65-74,High school graduate (high school diploma or the equivalent GED),Female,West,Own your home with a mortgage or loan
202501456,Poor,Not working,"$100,000 to $149,999",65-74,Bachelor's degree or higher,Male,West,Own your home free and clear (without a mortgage or loan)
202506583,Good,Not working,"$100,000 to $149,999",75+,Some college or Associate's degree,Male,Midwest,Own your home free and clear (without a mortgage or loan)
201905936,Only fair,Not working,"$25,000 to $49,999",75+,High school graduate (high school diploma or the equivalent GED),Female,Midwest,Own your home free and clear (without a mortgage or loan)
202503672,Only fair,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Female,Northeast,Own your home with a mortgage or loan
202105470,Good,Not working,"$75,000 to $99,999",75+,Bachelor's degree or higher,Male,West,Own your home free and clear (without a mortgage or loan)
201703972,Good,Not working,"$50,000 to $74,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
202505078,Only fair,Working part-time,"$150,000 or more",45-54,Bachelor's degree or higher,Female,Midwest,Own your home with a mortgage or loan
202505057,Only fair,Not working,"$100,000 to $149,999",65-74,Bachelor's degree or higher,Male,South,Own your home free and clear (without a mortgage or loan)
201901604,Only fair,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Female,South,Own your home with a mortgage or loan
202502053,Good,Not working,"Less than $10,000",45-54,Bachelor's degree or higher,Female,West,Neither own nor pay rent
201803380,Only fair,Working part-time,"$75,000 to $99,999",25-34,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
202506359,Good,Working full-time,"$75,000 to $99,999",45-54,Bachelor's degree or higher,Male,Northeast,Own your home with a mortgage or loan
202502030,Only fair,Not working,"$50,000 to $74,999",65-74,Some college or Associate's degree,Male,Midwest,Own your home with a mortgage or loan
202504376,Only fair,Not working,"$25,000 to $49,999",65-74,Some college or Associate's degree,Male,West,Own your home free and clear (without a mortgage or loan)
202203452,Only fair,Not working,"$50,000 to $74,999",35-44,Bachelor's degree or higher,Male,West,Own your home with a mortgage or loan
202505864,Only fair,Not working,"$25,000 to $49,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,Midwest,Pay rent
202502833,Good,Not working,"$100,000 to $149,999",75+,Some college or Associate's degree,Male,West,Own your home free and clear (without a mortgage or loan)
202003512,Poor,Working full-time,"$150,000 or more",25-34,Bachelor's degree or higher,Male,West,Own your home with a mortgage or loan
202502958,Only fair,Working full-time,"$100,000 to $149,999",45-54,Bachelor's degree or higher,Male,Midwest,Own your home free and clear (without a mortgage or loan)
202504405,Poor,Working full-time,"$25,000 to $49,999",35-44,Some college or Associate's degree,Male,West,Own your home with a mortgage or loan
201800212,Only fair,Not working,"$25,000 to $49,999",65-74,Some college or Associate's degree,Male,South,Neither own nor pay rent
202502365,Only fair,Not working,"$10,000 to $24,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,South,Pay rent
201904605,Only fair,Working full-time,"$150,000 or more",55-64,Some college or Associate's degree,Female,South,Own your home free and clear (without a mortgage or loan)
202502933,Only fair,Working full-time,"$25,000 to $49,999",55-64,Some college or Associate's degree,Male,South,Own your home free and clear (without a mortgage or loan)
201804675,Only fair,Working full-time,"$150,000 or more",65-74,Bachelor's degree or higher,Male,Northeast,Own your home with a mortgage or loan
202503380,Only fair,Not working,"$10,000 to $24,999",65-74,Some college or Associate's degree,Male,West,Own your home free and clear (without a mortgage or loan)
201709669,Only fair,Not working,"$25,000 to $49,999",75+,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home with a mortgage or loan
202503220,Poor,Not working,"$25,000 to $49,999",65-74,Some college or Associate's degree,Female,Midwest,Own your home free and clear (without a mortgage or loan)
201805236,Poor,Working full-time,"$100,000 to $149,999",35-44,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
201601106,Poor,Working full-time,"$100,000 to $149,999",55-64,High school graduate (high school diploma or the equivalent GED),Female,Northeast,Neither own nor pay rent
202005520,Poor,Working full-time,"$100,000 to $149,999",35-44,High school graduate (high school diploma or the equivalent GED),Female,Northeast,Own your home with a mortgage or loan
202504517,Only fair,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Female,West,Own your home free and clear (without a mortgage or loan)
202505933,Good,Not working,"$50,000 to $74,999",75+,Bachelor's degree or higher,Male,South,Own your home free and clear (without a mortgage or loan)
202500349,Only fair,Not working,"$75,000 to $99,999",65-74,Bachelor's degree or higher,Female,Midwest,Own your home free and clear (without a mortgage or loan)
201700125,Only fair,Not working,"$100,000 to $149,999",65-74,Bachelor's degree or higher,Male,South,Own your home free and clear (without a mortgage or loan)
202000428,Good,Not working,"$150,000 or more",55-64,Some college or Associate's degree,Female,Midwest,Own your home free and clear (without a mortgage or loan)
201800937,Good,Working full-time,"$100,000 to $149,999",45-54,High school graduate (high school diploma or the equivalent GED),Female,Midwest,Own your home with a mortgage or loan
202502633,Good,Not working,"$50,000 to $74,999",65-74,Some college or Associate's degree,Male,Midwest,Own your home free and clear (without a mortgage or loan)
202504754,Good,Working part-time,"$75,000 to $99,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
202501194,Only fair,Working part-time,"$50,000 to $74,999",65-74,Some college or Associate's degree,Female,Northeast,Own your home free and clear (without a mortgage or loan)
202505279,Only fair,Not working,"$100,000 to $149,999",75+,Bachelor's degree or higher,Male,West,Own your home free and clear (without a mortgage or loan)
201801560,Good,Working full-time,"$150,000 or more",55-64,High school graduate (high school diploma or the equivalent GED),Male,West,Own your home with a mortgage or loan
202000561,Only fair,Working part-time,"$150,000 or more",45-54,No high school diploma or GED,Female,Northeast,Own your home with a mortgage or loan
202503119,Only fair,Not working,"$25,000 to $49,999",75+,Some college or Associate's degree,Male,South,Own your home free and clear (without a mortgage or loan)
202301202,Only fair,Working full-time,"$100,000 to $149,999",55-64,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home free and clear (without a mortgage or loan)
202504316,Good,Not working,"$100,000 to $149,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,West,Own your home with a mortgage or loan
202503164,Excellent,Not working,"$50,000 to $74,999",75+,Some college or Associate's degree,Male,Northeast,Own your home with a mortgage or loan
202501067,Only fair,Not working,"$75,000 to $99,999",55-64,Some college or Associate's degree,Male,West,Own your home free and clear (without a mortgage or loan)
202501685,Good,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
201400410,Poor,Not working,"$50,000 to $74,999",75+,High school graduate (high school diploma or the equivalent GED),Female,Midwest,Own your home free and clear (without a mortgage or loan)
202503262,Poor,Working part-time,"$100,000 to $149,999",35-44,Bachelor's degree or higher,Female,Midwest,Own your home with a mortgage or loan
202505381,Only fair,Working full-time,"$100,000 to $149,999",55-64,Bachelor's degree or higher,Male,South,Own your home free and clear (without a mortgage or loan)
202505932,Only fair,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Male,West,Own your home free and clear (without a mortgage or loan)
202501076,Poor,Not working,"$50,000 to $74,999",75+,Bachelor's degree or higher,Female,Northeast,Pay rent
202502347,Only fair,Working part-time,"$25,000 to $49,999",75+,Bachelor's degree or higher,Female,Northeast,Pay rent
202505328,Poor,Not working,"$25,000 to $49,999",55-64,Some college or Associate's degree,Female,Midwest,Own your home free and clear (without a mortgage or loan)
202504500,Only fair,Not working,"$75,000 to $99,999",75+,High school graduate (high school diploma or the equivalent GED),Female,West,Own your home free and clear (without a mortgage or loan)
202505224,Only fair,Working part-time,"$100,000 to $149,999",75+,Bachelor's degree or higher,Male,Midwest,Own your home free and clear (without a mortgage or loan)
202502938,Poor,Working full-time,"$50,000 to $74,999",45-54,Bachelor's degree or higher,Female,West,Neither own nor pay rent
202501917,Only fair,Working full-time,"$50,000 to $74,999",25-34,Bachelor's degree or higher,Female,South,Own your home with a mortgage or loan
201300935,Good,Working full-time,"$150,000 or more",55-64,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home with a mortgage or loan
202304825,Only fair,Not working,"$100,000 to $149,999",55-64,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home with a mortgage or loan
202501784,Only fair,Working full-time,"$100,000 to $149,999",55-64,Some college or Associate's degree,Female,Midwest,Own your home with a mortgage or loan
201708112,Only fair,Working full-time,"$10,000 to $24,999",65-74,No high school diploma or GED,Female,South,Pay rent
202500696,Only fair,Working full-time,"$100,000 to $149,999",45-54,High school graduate (high school diploma or the equivalent GED),Male,Midwest,Own your home with a mortgage or loan
202506101,Only fair,Not working,"$50,000 to $74,999",55-64,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home with a mortgage or loan
202503410,Only fair,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Female,West,Pay rent
202106054,Only fair,Not working,"$100,000 to $149,999",55-64,High school graduate (high school diploma or the equivalent GED),Male,Midwest,Own your home free and clear (without a mortgage or loan)
202300801,Excellent,Not working,"$100,000 to $149,999",55-64,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
201805047,Excellent,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Male,Midwest,Own your home with a mortgage or loan
202001566,Only fair,Not working,"$50,000 to $74,999",75+,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
202302669,Only fair,Not working,"$10,000 to $24,999",75+,High school graduate (high school diploma or the equivalent GED),Female,West,Own your home with a mortgage or loan
202002659,Poor,Not working,"$150,000 or more",75+,Bachelor's degree or higher,Female,South,Own your home with a mortgage or loan
202000439,Good,Working full-time,"$50,000 to $74,999",55-64,Some college or Associate's degree,Female,Midwest,Own your home free and clear (without a mortgage or loan)
202501628,Poor,Not working,"$25,000 to $49,999",55-64,High school graduate (high school diploma or the equivalent GED),Female,Northeast,Own your home with a mortgage or loan
202502852,Good,Not working,"$150,000 or more",75+,Bachelor's degree or higher,Female,Midwest,Own your home free and clear (without a mortgage or loan)
202505041,Only fair,Working full-time,"$150,000 or more",45-54,Some college or Associate's degree,Male,Midwest,Own your home free and clear (without a mortgage or loan)
202203328,Only fair,Working full-time,"$25,000 to $49,999",25-34,High school graduate (high school diploma or the equivalent GED),Female,Midwest,Pay rent
201806575,Only fair,Not working,"$100,000 to $149,999",65-74,Some college or Associate's degree,Male,Midwest,Own your home free and clear (without a mortgage or loan)
202506422,Only fair,Working full-time,"$150,000 or more",65-74,Bachelor's degree or higher,Female,West,Own your home free and clear (without a mortgage or loan)
201805144,Poor,Not working,"$150,000 or more",75+,Bachelor's degree or higher,Female,West,Own your home free and clear (without a mortgage or loan)
202102439,Excellent,Not working,"$50,000 to $74,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home with a mortgage or loan
202503764,Only fair,Not working,"$50,000 to $74,999",75+,Some college or Associate's degree,Male,Midwest,Own your home free and clear (without a mortgage or loan)
201801804,Good,Working full-time,"$75,000 to $99,999",25-34,Bachelor's degree or higher,Male,South,Pay rent
201904220,Poor,Not working,"$10,000 to $24,999",55-64,No high school diploma or GED,Female,West,Pay rent
201802135,Only fair,Not working,"$10,000 to $24,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,South,Pay rent
202403597,Only fair,Not working,"$100,000 to $149,999",75+,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
201701400,Good,Working full-time,"$25,000 to $49,999",55-64,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
202300566,Good,Not working,"$25,000 to $49,999",45-54,High school graduate (high school diploma or the equivalent GED),Female,Midwest,Own your home free and clear (without a mortgage or loan)
202403670,Poor,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
201806908,Poor,Working full-time,"$100,000 to $149,999",45-54,High school graduate (high school diploma or the equivalent GED),Female,South,Pay rent
201803045,Poor,Working full-time,"$100,000 to $149,999",25-34,Some college or Associate's degree,Female,Midwest,Neither own nor pay rent
202501610,Good,Not working,"$150,000 or more",65-74,Bachelor's degree or higher,Male,Northeast,Own your home free and clear (without a mortgage or loan)
201301743,Only fair,Not working,"$150,000 or more",45-54,High school graduate (high school diploma or the equivalent GED),Male,South,Pay rent
202500723,Poor,Not working,"$50,000 to $74,999",75+,Bachelor's degree or higher,Male,Northeast,Own your home free and clear (without a mortgage or loan)
202506326,Only fair,Not working,"$50,000 to $74,999",55-64,Some college or Associate's degree,Female,Midwest,Own your home with a mortgage or loan
202500480,Only fair,Not working,"$100,000 to $149,999",55-64,Some college or Associate's degree,Female,Midwest,Own your home with a mortgage or loan
202505315,Good,Working part-time,"$100,000 to $149,999",55-64,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
202105671,Good,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Female,West,Own your home with a mortgage or loan
202403066,Good,Working full-time,"$150,000 or more",35-44,Some college or Associate's degree,Female,Midwest,Own your home with a mortgage or loan
201502360,Poor,Working full-time,"$100,000 to $149,999",55-64,No high school diploma or GED,Male,West,Own your home with a mortgage or loan
202500010,Good,Not working,"$25,000 to $49,999",65-74,High school graduate (high school diploma or the equivalent GED),Female,Midwest,Own your home free and clear (without a mortgage or loan)
201709100,Only fair,Not working,"$150,000 or more",65-74,Some college or Associate's degree,Male,Midwest,Own your home with a mortgage or loan
201801323,Poor,Working full-time,"$150,000 or more",35-44,Some college or Associate's degree,Male,Midwest,Own your home free and clear (without a mortgage or loan)
202506297,Good,Not working,"$50,000 to $74,999",65-74,Some college or Associate's degree,Male,West,Own your home with a mortgage or loan
201800942,Only fair,Not working,"$150,000 or more",55-64,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
202502714,Only fair,Not working,"$10,000 to $24,999",75+,High school graduate (high school diploma or the equivalent GED),Female,West,Own your home with a mortgage or loan
202505950,Only fair,Working full-time,"$75,000 to $99,999",35-44,Bachelor's degree or higher,Male,Midwest,Own your home with a mortgage or loan
201901685,Good,Not working,"$150,000 or more",75+,Bachelor's degree or higher,Male,South,Own your home free and clear (without a mortgage or loan)
201800721,Good,Working full-time,"$150,000 or more",35-44,Bachelor's degree or higher,Male,South,Pay rent
202502507,Poor,Not working,"$100,000 to $149,999",45-54,Bachelor's degree or higher,Female,West,Pay rent
202504831,Only fair,Not working,"$100,000 to $149,999",75+,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
202504836,Poor,Working part-time,"$100,000 to $149,999",35-44,Bachelor's degree or higher,Female,South,Own your home with a mortgage or loan
202500585,Good,Not working,"$100,000 to $149,999",75+,Bachelor's degree or higher,Female,West,Own your home with a mortgage or loan
202401449,Only fair,Working full-time,"$75,000 to $99,999",55-64,Bachelor's degree or higher,Female,South,Own your home with a mortgage or loan
202503435,Poor,Working full-time,"$50,000 to $74,999",45-54,Bachelor's degree or higher,Female,South,Own your home with a mortgage or loan
